text	passage	paragraph	offset	before	after	evidence_edition	kind
ammianus--30	3	12	47	inciclerit	inciderit	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	4	3	83	iustormn	iustorum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	4	17	52	substristis	subtristis	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--30	5	7	107	Funa rius	Funarius	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--30	6	4	403	detra hebat	detrahebat	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--31	2	1	521	exi stimant	existimant	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--31	2	7	167	portendatur	portenditur	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	3	2	51	provinciascircumfusae	provincias circumfusae	perseus--stoa0023.stoa001.perseus-lat2	split
ammianus--31	3	13	276	ha bitatores	habitatores	perseus--stoa0023.stoa001.perseus-lat2	join
ammianus--31	5	10	223	nostrorumper	nostrorum per	perseus--stoa0023.stoa001.perseus-lat2	split
ammianus--31	5	12	173	latituclines	latitudines	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	5	18	108	validun	validum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	6	2	164	conceptantes	coeptantes	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	6	8	223	turbamm	turbarum	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	6	17	28	pvo	pro	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	7	12	10	neeessaria	necessaria	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	7	13	36	eonscius	conscius	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	9	9	197	inmientium	imminentium	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	9	16	115	hgnumque	lignumque	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	9	20	131	cligressi	digressi	perseus--stoa0023.stoa001.perseus-lat2	replace
ammianus--31	9	22	115	redclita	reddita	perseus--stoa0023.stoa001.perseus-lat2	replace
apicius--apicius1	1	7	23	despumto	despumato	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius1	1	15	150	rosto	rosato	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius1	1	51	10	peciolis	petiolis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius1	1	79	80	ispicam	spicam	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius2	1	15	202	esiciis	isiciis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius2	1	32	94	termperabis	temperabis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius2	1	36	212	esiciis	isiciis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius2	1	41	255	conquuntur	coquuntur	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius2	1	51	228	permiscer	permisces	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	12	193	decoctusÓ	decoctus	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	12	91	holeo	oleo	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	19	257	actertio	ac tertio	perseus--phi2003.phi001.perseus-lat1	split
apicius--apicius3	1	19	158	teraperabis	temperabis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	20	22	IURECOLOCASIORUM	IURE COLOCASIORUM	perseus--phi2003.phi001.perseus-lat1	split
apicius--apicius3	1	57	37	olibas	oliuas	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	94	50	aedritudinem	aegritudinem	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	1	100	359	coclearem	cocleare	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius3	2	7	28	inferuntar	inferuntur	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	9	39	macerabas	macerabis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	20	32	moratrio	mortario	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	28	438	corta	cocta	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	28	232	suffunes	suffundes	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	36	389	pulpaspiscis	pulpas piscis	perseus--phi2003.phi001.perseus-lat1	split
apicius--apicius4	1	38	759	obligabas	obligabis	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	38	675	percutier	percuties	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	40	235	liquamem	liquamen	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	1	44	187	rutaebacam	rutae bacam	perseus--phi2003.phi001.perseus-lat1	split
apicius--apicius4	2	7	82	dividies	divides	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	2	25	115	acicies	adicies	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	2	39	49	defricto	defricato	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	2	48	320	semem	semen	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius4	2	48	222	intrinsecs	intrinsecus	perseus--phi2003.phi001.perseus-lat1	replace
apicius--apicius5	2	4	218	coliculumï	coliculum	perseus--phi2003.phi001.perseus-lat1	replace
appverg.catalepton	1	12	245	flebinus	flebimus	perseus--phi0692.phi009.perseus-lat1	replace
appverg.ciris	1	129	18	firmarant	firmarunt	perseus--phi0692.phi007.perseus-lat1	replace
appverg.ciris	1	177	0	ariasque	aeriasque	perseus--phi0692.phi007.perseus-lat1	replace
appverg.ciris	2	64	6	nisuram	uisuram	perseus--phi0692.phi007.perseus-lat1	replace
appvergculex	1	3	4324	tradicit	traducit	perseus--phi0692.phi003.perseus-lat1	replace
appvergculex	1	3	3479	nocis	nouis	perseus--phi0692.phi003.perseus-lat1	replace
appvergculex	1	3	2930	congitus	cognitus	perseus--phi0692.phi003.perseus-lat1	replace
appvergculex	3	1	2986	imnis	omnis	perseus--phi0692.phi003.perseus-lat1	replace
appvergculex	3	1	2340	latantur	laetantur	perseus--phi0692.phi003.perseus-lat1	replace
appvergculex	3	2	1492	vialae	violae	perseus--phi0692.phi003.perseus-lat1	replace
apuleius--apuleius.apol	1	4	93	o ccepit	occepit	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	1	9	129	r abulis	rabulis	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	3	49	Platonic a	Platonica	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	10	414	i magines	imagines	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	10	73	i maginem	imaginem	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	11	845	i maginis	imaginis	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	11	37	i maginibus	imaginibus	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	12	269	i maginem	imaginem	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	12	226	i maginibus	imaginibus	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	14	859	i maginentur	imaginentur	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	3	14	222	i magines	imagines	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	4	1	258	i magines	imagines	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	6	12	232	fals a	falsa	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	7	6	38	reuulsu s	reuulsus	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	7	28	303	ommutescat	commutescat	perseus--phi1212.phi001.perseus-lat1	replace
apuleius--apuleius.apol	8	5	228	s ecta	secta	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	8	9	454	genit um	genitum	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	9	1	309	s umme	summe	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	9	7	610	uelu t	uelut	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	9	11	87	a gros	agros	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	10	8	245	accesser e	accessere	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	10	13	162	spirit u	spiritu	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	11	1	249	uelu t	uelut	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	11	7	433	stultiti a	stultitia	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	13	10	235	larbarum	laruarum	perseus--phi1212.phi001.perseus-lat1	replace
apuleius--apuleius.apol	13	11	311	Ph aedro	Phaedro	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	13	11	216	st etit	stetit	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	14	10	54	e fficio	efficio	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	16	2	404	i maginarium	imaginarium	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	16	4	375	r eferat	referat	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	16	5	405	alumentum	adiumentum	perseus--phi1212.phi001.perseus-lat1	replace
apuleius--apuleius.apol	16	5	327	immobil i	immobili	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	16	8	71	excusabund a	excusabunda	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	17	16	107	robust um	robustum	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	19	3	515	acceperi s	acceperis	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.apol	19	8	291	tempor is	temporis	perseus--phi1212.phi001.perseus-lat1	join
apuleius--apuleius.cupid	2	7	1487	proxumante	proximante	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.cupid	4	9	1186	formonse	formose	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.cupid	5	8	626	ʻtu	tu	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.cupid	8	1	850	crustallo	crystallo	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.cupid	8	5	570	formonsitate	formositate	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.cupid	9	2	32	formonsitas	formositas	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius.florida	5	1	126	utramius	utramuis	perseus--phi1212.phi003.perseus-lat2	replace
apuleius--apuleius1	2	1	830	afflictim	efflictim	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius1	3	2	247	exantlasti	exanclasti	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	1	4	751	crebiter	crebriter	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	2	4	691	dantum	dandum	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	3	5	595	nutriverat	nutriveram	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	3	6	110	forarem	foramen	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	3	8	220	consola	consona	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	3	9	1076	conivamque	conuivamque	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	3	9	1036	affeceram	effeceram	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	4	2	404	sorsus	seorsus	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	4	4	297	strangula	stragula	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	4	6	409	suscipet	susciperet	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	4	6	233	ambroseo	ambrosio	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	5	4	700	ostentationibus	obtestationibus	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	5	7	501	praeta	prata	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	5	8	764	subductu	subducto	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	6	1	523	conas	comas	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	6	7	442	scelerae	scelestae	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius10	6	8	779	refovero	refoveo	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius11	1	7	1117	semirutundo	semirotundo	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius11	2	5	1208	rutundatum	rotundatum	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius11	3	1	735	celerrume	celerrime	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius2	5	3	851	obclusis	occlusis	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius3	2	3	108	graculari	gratulari	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius3	3	1	90	obcludam	occludam	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius3	4	1	615	solliciter	sollicite	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	1	3	162	fungentium	fulgentium	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	1	7	691	mondum	modum	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	2	6	86	proximan	proximam	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	3	1	548	suptile	subtile	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	4	8	975	crebiter	crebriter	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	5	6	377	fraglantissimo	flagrantissimo	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	5	10	118	soris	sortis	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius4	6	1	117	scopulom	scopulum	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius5	1	11	1082	proxumante	proximante	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius5	1	12	171	heiulatibus	eiulatibus	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius5	2	3	119	recolente	recolentem	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius5	3	11	151	formonse	formose	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius5	4	7	446	satem	saltem	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius6	1	6	238	cuiscumque	cuiuscumque	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius6	2	6	851	crustallo	crystallo	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius6	3	1	569	formonsitate	formositate	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius6	3	7	32	formonsitas	formositas	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius7	1	10	525	partun	partus	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius7	2	6	25	reperito	repetito	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius7	2	11	229	imprecarer	imprecer	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius7	3	10	166	scitura	scitula	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	2	5	75	meius	meis	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	2	6	144	inurgere	inurguere	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	2	6	33	sobriefactum	sobriefactus	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	3	3	993	spirato	stipato	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	3	3	632	commeadum	commeandum	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius8	4	8	290	stomida	tumida	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	2	6	103	perperi	perpeti	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	2	7	854	luminanti	luminati	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	2	7	227	reflectione	refectione	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	4	4	371	libertaten	libertatem	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	4	7	78	optundere	obtundere	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	5	6	301	cevice	cervice	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	6	3	1424	compercunt	compescunt	perseus--phi1212.phi002.perseus-lat1	replace
apuleius--apuleius9	7	1	556	maniculos	manipulos	perseus--phi1212.phi002.perseus-lat1	replace
augustine--reg	2	3	173	induimini	induamini	perseus--stoa0040.stoa011.perseus-lat2	replace
aus.mos	1	2	4085	exercei	exerces	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	2	1	1220	Indueant	Inducant	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	2	1	1157	lubriea	lubrica	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	2	1	1014	deereseere	decrescere	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	3	1	4557	noetua	noctua	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	3	1	635	irnagine	imagine	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	4	1	1229	marmote	marmore	perseus--stoa0045.stoa019.perseus-lat2	replace
aus.mos	4	2	1127	Rhodanns	Rhodanus	perseus--stoa0045.stoa019.perseus-lat2	replace
bede--bede4	3	5	1115	Magéo	Mago	perseus--stoa0054.stoa006.perseus-lat1	replace
caesar--alex	2	2	717	epihatis	epibatis	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	3	3	135	maloribus	maioribus	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	3	7	366	legionurn	legionum	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	3	7	163	proelils	proeliis	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	3	7	138	hostiurn	hostium	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	4	2	342	Caerari	Caesari	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	7	3	867	pefforatae	perforatae	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	7	4	178	prcelio	proelio	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	8	5	488	pecunam	pecuniam	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	8	6	840	potesate	potestate	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	9	2	79	nultisque	multisque	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	10	5	310	ignoscre	ignoscere	perseus--phi0428.phi001.perseus-lat1	replace
caesar--alex	10	6	294	revocar	revocari	perseus--phi0428.phi001.perseus-lat1	replace
caesar--bc1	2	5	642	cohortibua	cohortibus	perseus--phi0448.phi002.perseus-lat3	replace
caesar--bc1	2	7	521	suisVarus	suis Varus	perseus--phi0448.phi002.perseus-lat3	split
caesar--bc1	9	3	569	Sasa	Saxa	perseus--phi0448.phi002.perseus-lat3	replace
caesar--bc2	1	4	794	Massilensium	Massiliensium	perseus--phi0448.phi002.perseus-lat3	replace
caesar--bc2	1	5	247	superarissent	superauissent	perseus--phi0448.phi002.perseus-lat3	replace
